Tweets;polaridad
¡Aguante @LaNegraVerdu, aguante @PoderPopularCI y aguante el @Fte_Izquierda! En estas #EleccionesArgentina vamos con la única alternativa de les trabajadores. #VamosConFITunidad #CierreFITunidad.pic.twitter.com/0N8brvr8cT;POSITIVO
¡Ah! Peros son como 10... Si están tan optimistas ¿Porqué contrataron a una empresa denunciada en 4 continentes por manipular datos para el escrutinio del 11 de Agosto? En Indonesia debieron rehacer las votaciones y los gerentes de SmartMatic están prófugos. Fraude liso y llano.;NEGATIVO
"¡Chatín! A Arturo Fernández no se lo hubiesen dado ni aunque hubiese protagonizado "" Con faldas y a lo loco"" ¿Qué tal ahora la ortografía, Sr Corregidor?";NEGATIVO
¡Ché Macri! renunciá. Renunciá y entregáte a la justicia ¡Gato forro!;NEGATIVO
¡CLARO QUE SE PUEDE! ¡Vamos BUENOS AIRES ! ¡VAMOS ARGENTINA! #juntosporelcambio #JuntosPodemosMás ¡Hay equipo! @mauriciomacripic.twitter.com/7oPLEYexxt;POSITIVO
¡Cuántos recuerdos, todos juntos, me producen, este video! @CFKArgentina siempre, tan brillante y filosa. ¡Qué @elisacarrio se perdió el País, cuando decidió trasvestirse! La canchera, despectiva y maleducada postura de @zlotomarcelo nos garantiza q es un imbécil de anteshttps://twitter.com/Irene010394/status/1159906930908958720 …;NEGATIVO
¡Este domingo te pido que nos acompañes con tu voto, para seguir avanzando juntos hacia el futuro que queremos! Por eso cuando vayas a votar elegí Nicolas Ducote Intendente e Inés Ricci Concejal. #JuntosPorElCambio #Pilar @NicoDucote @InesRicci @FlavioCharopic.twitter.com/07EVwwCAzw;POSITIVO
¡Hola . @juan_amorin! Pregunta de puro ignorante: ¿Los legisladores del Mercosur esta vez no se votan o qué sucede? ¡Gracias!;NEGATIVO
¡Hola . @juan_amorin! Pregunta de puro ignorante: ¿Los legisladores del Mercosur esta vez no se votan o qué sucede? ¡Gracias!;NEGATIVO
"""Si hay tanto amor q se quede con la familia y se deje de vender humo en política.Seria bueno q se lo diga IsabelitaTe amamos"", ¡Juan Manuel Urtubey e Isabel Macedo compartieron la foto más tierna junto a su hija! https://elintransigente.com/espectaculo/2019/08/03/te-amamos-juan-manuel-urtubey-e-isabel-macedo-compartieron-la-foto-mas-tierna-junto-a-su-hija/ … vía @elintransigente";AMBIGUO
¡MAURITIUS!;POSITIVO
¡Muchos + seguirán votando, tantos que tu corta visión no puede ver! Seguí aplaudiendo al gobierno + corrupto que tuvo nuestro país! Los Kirchner! Y seguí aplaudiendo a Putin que esta desmantelando Venezuela y saqueando el oro y diamantes q les queda!El verso te lo comiste vos!;NEGATIVO
¡OHHH... NO VAN A VOLVEE, A VOLVEE, A VOLVEE, NO VAN A VOLVEE! #YoVotoMM #YoVotoAVidal #JuntosSomosImparables #JuntosPorElCambio #MacriPichetto2019ListaCompleta #YoVotoAlGato ¡OHHH... NO VAN A VOLVEE... A VOLVEE, A VOLVEE, NO VAN A VOLVEE! ¡VAMOS ARGENTINA!;POSITIVO
¡Perdona Cuero! dice Medrano. Puta madre no mames, esa la mete hasta Santiago Fernández con la tibia fracturada. Increíble que estos sean jugadores de primera división.;NEGATIVO
¡Qué mujer tan falsa e hipócrita es Cristina Fernández de Kirchner! Seguramente por dentro se estará preguntando: ¿Por qué me tendré que sacar esta foto con esta negra de mierda?;NEGATIVO
¡Qué mujer tan falsa e hipócrita es Cristina Fernández de Kirchner! Seguramente por dentro se estará preguntando: ¿Por qué me tendré que sacar esta foto con esta negra de mierda?;NEGATIVO
¡Qué orgullo me da militar en el @PTSarg - @Fte_Izquierda! https://twitter.com/musso_javier/status/1158148124222865410 …;POSITIVO
¡Vaya boludo descerebrado éste! Macri tiene a la Argentina en la peor crisis económica de su historia. El dólar 42.00, un litro de leche 40.00 la mayor crisis de desempleo desde la caída de la dictadura, la mayor deuda externa de AL. Y te sientes digno vtándolo? pic.twitter.com/EiMbQP7dO4;NEGATIVO
¡XI del #CádizCF! David Gil Iza Carcelén Fali Cala Espino Garrido Bodiger Álex Fernández Salvi Javi Navarro Caye Quintana #CádizMálaga #PretemporadaCCF;NEGATIVO
¡Y el resto? No voto a ninguno de estos. Tampoco a los kirchneristas ladrones. Macri lista completa.;NEGATIVO
¿Así que ahora la tarada de Ofelia Fernández decide quién es feminista y quién no? ¿Quién sube al pony a todas estas imbéciles?;NEGATIVO
¿Ballotage 2015, o generales? Si es el ballotage, es posible que quienes votaron a Massa en 2015 ahora elijan a Lavagna.;AMBIGUO
@soyjuano_m, ¿ché, @sergio_fajardo, y ese bigote qué conchas?;NEGATIVO
¿con pichetto de vice, que le cuidó los fueros? dejen de repetir tonteras....;NEGATIVO
¿En qué país viven estos imbeciles? ¿Realmente pueden sostener un discurso tan de mierda? Cómo es qué Macri y cordura entran en un mismo concepto???????;NEGATIVO
¿Es cierto eso? Leí de los paneros que fue porque Espert dijo que eran muy conservas, lo cuál me parece asquerosamente estúpido. Gente de mierda la del PAN sí es así y no haber competido en las PASO.;NEGATIVO
¿Esta nervioso señor?. Lo que me llama la atención, es que hable de cultura del trabajo quien defiende a Macri. Vago y chorro como ese mequetrefe no hay en el mundo.;NEGATIVO
¿Fue caro? me parece que fue barato, como todo lo que produce Macri desde que vive, compra todo trucho , barato, inservible, y después nos tira las consecuencias por la cabeza, se ríe, se burla, y se manda a mudar de vacaciones con el lucro de los negocios de mierda que hace;NEGATIVO
¿Jorge Ramos (CNN) no querés entrevistar a Macri y mostrarle este video como hiciste con Maduro? para que veas la gente comiendo de la basura. https://twitter.com/aran_tirado/status/1160093570067554312 …;NEGATIVO
¿Leyó usted Bases y Puntos de Partida para la Organización de La República?;AMBIGUO
¿Los zurdos que entregaron a sus camaradas no merecen castigo? Ahora son todos K. Dejate de Joder Gabriel, no mezcles a Macri con esa basura. https://twitter.com/Solanopo/status/1159911694380019712 …;NEGATIVO
¿ningún celeste en el senado???? Eso dice tu propaganda????Ajá! Mira como predicas la tolerancia y no discriminación... tipico de zurdetes: incoherentes totales;NEGATIVO
¿O sea que hiciste una encuesta para que solo participen los votantes del Frente de Todos? Qué boludos son los kirchneristas. https://twitter.com/bbimbi/status/1159562478491250690 …;NEGATIVO
¿Para que quieren reforma laboral si los trabajadores cobran miseria? Obviamente que van contra Moyano, pero para disciplinar al trabajador.;NEGATIVO
¿Podrías enumerar con precisión quirúrgica las agresiones de Cambiemos? Yo, en cambio, te hago una síntesis CON EVIDENCIA EMPÍRICA de la VIOLENCIA que usa el peronismo, TU PARTIDO NEFASTO DEL QUE FUISTE Y SEGUÍS SIENDO PARTE.pic.twitter.com/i2tklhwhAI;NEGATIVO
¿por que no explica lo que hicieron cuando gobernaron??, ¿como hicieron para robar y dejar al pais en ruinas? ....;NEGATIVO
¿Por qué votarán a Lavagna si Scooli no gobernó?;NEGATIVO
¿Posta hay gente que va a votar a Fernández? Dios mío, ¿qué mierda les pasa?;NEGATIVO
¿Qué sentido tienen estas bravuconerías enteramente teatrales de quien sabe perfectamente que no tiene la más remota posibilidad de ser presidente? ¿Entusiasmar a la secta de troskos de derecha que se dicen liberales pero menosprecian las instituciones y desean líderes fuertes?;NEGATIVO
¿Que cambio? La deuda infinita la fuga de dólares los DNU la justicia rastrera y mentirosa ese. Es el cambio déjenme como esta vamos;NEGATIVO
¿Qué dichos super racistas? ¿Cuándo promovió el odio?;AMBIGUO
¿Quebró el sistema? ¿Esta gente no tiene un fucking argumento propio para votar a Macri que repite pelotudeces? Dejo un link para que la Wikipedia (fácil para que lo entiendan) les explique lo que son los FGS. Lean un poco globertos. https://es.m.wikipedia.org/wiki/Fondo_de_Garant%C3%ADa_de_Sustentabilidad …;NEGATIVO
¿Quién quiere meter miedo?¿ @alferdez diciendo a una científica que la va a cuidar o La Chorra diciendo que la Constitución es vieja y la división de poderes también? Sos un sicario de los medios.;NEGATIVO
¿Quiere una distribución de GNU-Linux para el idiota promedio? Vote Fernández;NEGATIVO
Y eso ¿quita que defendés a un arrastrado panqueque?;NEGATIVO
¿Realmente crees que @jlespert tendría más responsabilidad que el mismísimo @mauriciomacri en una hipotética vuelta de @CFKArgentina con @alferdez a la cabeza? ¿Hasta cuándo vamos a utilizar ese criterio mediocre? Por favor... ESA es la realidad.;NEGATIVO
¿Sabés que los tuyos se han infiltrado? ¡Mataron a un Fiscal.y mucho más! No seas ridículo.;NEGATIVO
¿Sabés que los tuyos se han infiltrado? ¡Mataron a un Fiscal.y mucho más! No seas ridículo.;NEGATIVO
[¿SABÍAS QUE?] Si votas a @mauriciomacri el domingo estás contribuyendo al hambre, al desempleo y al endeudamiento? No seas un sorete, practica la empatía y pensá en el que no tiene techo, ni comida, ni laburo.;NEGATIVO
[¿SABÍAS QUE?] Si votas a @mauriciomacri el domingo estás contribuyendo al hambre, al desempleo y al endeudamiento? No seas un sorete, practica la empatía y pensá en el que no tiene techo, ni comida, ni laburo.;NEGATIVO
¿Se acuerdan de que en algún momento de nuestra infinita ingenuidad pensamos que Fabiana Rosales sería una primera dama que nos representaría dignamente? Bueno, ok.;NEGATIVO
¿Se dan cuenta de que si un liberal debate con un zurdo terminamos por dejarlos sin argumentos? Anímense a exorcizar a esos poseídos por el marxismo, y después de un baño estarán como nuevos. #Espert2019 #EspertRosales2019 #Espertanos @FrenteDespertar #ChauViejaPolitica;NEGATIVO
¿Se dan cuenta de que si un liberal debate con un zurdo terminamos por dejarlos sin argumentos? Anímense a exorcizar a esos poseídos por el marxismo, y después de un baño estarán como nuevos. #Espert2019 #EspertRosales2019 #Espertanos @FrenteDespertar #ChauViejaPolitica;NEGATIVO
¿sos periodista? A los Papas que atacaron ?os autores estaban entre sus seguidores...y a muchos políticos también, si estudiaras historia no harías comentarios estupidos;NEGATIVO
¿sos periodista? A los Papas que atacaron ?os autores estaban entre sus seguidores...y a muchos políticos también, si estudiaras historia no harías comentarios estupidos;NEGATIVO
¿Tan mal canta @alferdez? Deberia darte verguenza la situación en la que puso el Pais @mauriciomacri;NEGATIVO
¿Te jode escuchar la verdad en la cara? Igual la realidad se los lleva puestos.;NEGATIVO
¿Te preguntaste la cantidad de pibes y pibas que trabajan hoy domingo?En supermercados, bares y restaurantes, comercios, pozos petroleros, estaciones de servicio, guardias de los hospitales, los turnos rotativos de las fábricas o repartiendo comida?;AMBIGUO
¿Ustedes son pelotudos o van a volver a votar a Macri?;NEGATIVO
¿Ven lo q sucede cuando dejan llegar al poder a un representante d la derecha fascista, mata-pobres, ladrona, colonialista, vende-patrias como @jairbolsonaro, #UribeConUnPieEnLaCarcel, @IvanDuque, @mauriciomacri, @sebastianpinera, @berlusconi, #TrumpIsARacist?https://twitter.com/elespectador/status/1159959164623495168 …;NEGATIVO
¿Ven lo q sucede cuando dejan llegar al poder a un representante d la derecha fascista, mata-pobres, ladrona, colonialista, vende-patrias como @jairbolsonaro, #UribeConUnPieEnLaCarcel, @IvanDuque, @mauriciomacri, @sebastianpinera, @berlusconi, #TrumpIsARacist?https://twitter.com/elespectador/status/1159959164623495168 …;NEGATIVO
¿Y este? Para colmo le quiso condonar la deuda al GARCA por el correo, pero le salió mal ¿no?pic.twitter.com/yuUzm1Qdgs;NEGATIVO
¿Y este? Para colmo le quiso condonar la deuda al GARCA por el correo, pero le salió mal ¿no?pic.twitter.com/yuUzm1Qdgs;NEGATIVO
¿Y cómo estás para mañana @mauriciomacri? Yo feliz de no votarte, no me importa si del otro lado está la Kretina, ella no me traicionó, ella siempre fue basura, vos fuiste la peor decepción ¿El abuelito Soros te llamó a desearte suerte? Igual él tiene varios títeres...;NEGATIVO
¿Y cómo estás para mañana @mauriciomacri? Yo feliz de no votarte, no me importa si del otro lado está la Kretina, ella no me traicionó, ella siempre fue basura, vos fuiste la peor decepción ¿El abuelito Soros te llamó a desearte suerte? Igual él tiene varios títeres...;NEGATIVO
¿Y después de las PASO, qué? Macri, tras las PASO, tiene más espacios políticos para absorber votos: se podría esperar que votantes de @jlespert y @juanjomalvinas en las PASO, dejen el corazón y usen la cabeza en octubre La duda reside en el perfil de votantes de @RLavagna;AMBIGUO
¿Y cual sería el problema si están convencidos que ganan en segunda vuelta?;AMBIGUO
¿Y si, en las Paso, nos ponemos todos de acuerdo para votar a Del Caño? Rompemos todas las encuentas, y le pegamos una boludeada al Nico ya que estamos.;NEGATIVO
¿y sigue libre?... tanto con los militares como co @mauriciomacri ?..entonces no son tan malos...¿o no basura? https://twitter.com/vivianalacroze/status/1159927983118966785 …;NEGATIVO
¿y sigue libre?... tanto con los militares como co @mauriciomacri ?..entonces no son tan malos...¿o no basura? https://twitter.com/vivianalacroze/status/1159927983118966785 …;NEGATIVO
¿Y VOS QUÉ HARÍAS SI ENFRENTE TUYO , TUVIERAS , MONTONEROS ,TERRORISTAS ASESINOS Y SICARIOS QUE MATAN FISCALES PIR IRDEN DE UNA LADRONA TRAIDORA Y ASESINA?CUANDO VINO OBAMA ,NOS MOSTRÓ COMO SE PROTEGE AL PRESIDENTE DE UNA NACIÓN.;NEGATIVO
¿Y VOS QUÉ HARÍAS SI ENFRENTE TUYO , TUVIERAS , MONTONEROS ,TERRORISTAS ASESINOS Y SICARIOS QUE MATAN FISCALES PIR IRDEN DE UNA LADRONA TRAIDORA Y ASESINA?CUANDO VINO OBAMA ,NOS MOSTRÓ COMO SE PROTEGE AL PRESIDENTE DE UNA NACIÓN.;NEGATIVO
"""Votar a Macri es no pensar en tus compañeros..."" ¿Y vos pensaste en tus compañeros cuando le subieron los impuestos para darte un millón de asignaciones y guardarse el resto? Que inmundicia estos zurdos y su costumbre de vivir del resto y del Estado";NEGATIVO
++ , las corporaciones corruptas, el narcotráfico y comprometiendo su salud en un mar de traiciones y falsedades. Por esto y por cientos de cosas más VOTARÉ A MAURICIO MACRI Y A MIGUEL PICHETTO;NEGATIVO
++ , las corporaciones corruptas, el narcotráfico y comprometiendo su salud en un mar de traiciones y falsedades. Por esto y por cientos de cosas más VOTARÉ A MAURICIO MACRI Y A MIGUEL PICHETTO;NEGATIVO
+che acordate de votar bien mañana eh -? +si a menos que te banques cuatro años mas de esta mierda -buen -xq al paso que vamos quedamos como venezuela y vos vas a ser complice +pero flaco te parece decirme esto en el velorio de mi hija? -votalo a fernande;NEGATIVO
«La situación económica es mucho más grave de lo que se dice», aseguró @RLavagna. http://www.fmlapatriada.com.ar/lavagna-avisa-la-situacion-economica-es-mucho-mas-grave-de-lo-que-se-dice/ …;AMBIGUO
?- - - - - - - - - - - - - - - - - - - - - - Cupón válido para que votes a quien se te canta el orto menos al hijo de re mil puta de Macri ?- - - - - - - - - - - - - - - - - - - - - -;NEGATIVO
"[04/08/2.019] Felipe Solá: ""Lavagna @RLavagna es un capo. Me encantaría que estuviera con nosotros"": https://m.perfil.com/noticias/periodismopuro/lavagna-es-un-capo-me-encantaria-que-estuviera-con-nosotros.phtml?rd=1 … P.D.: ""DIOS quiera"". (""VA TOMANDO FORMA...""). https://twitter.com/diego_luis_43/status/1131325947167301632?s=19 …pic.twitter.com/MbsoOCKVQe";AMBIGUO
"1- en todos los delitos USTEDES son mayoría (te lo puedo mostrar) 2- el feminismo es sectario y fascista (también hay sobradas muestras) 3- no pertenezco a NINGÚN partido político, ni afiliado estoy. Vos sos FUNCIONARIA KIRNERISTA 4- si sabrán los K de ""fines electorales""pic.twitter.com/3OsEuuEeTh";NEGATIVO
"1- en todos los delitos USTEDES son mayoría (te lo puedo mostrar) 2- el feminismo es sectario y fascista (también hay sobradas muestras) 3- no pertenezco a NINGÚN partido político, ni afiliado estoy. Vos sos FUNCIONARIA KIRNERISTA 4- si sabrán los K de ""fines electorales""pic.twitter.com/3OsEuuEeTh";NEGATIVO
1. Gracias por la racomendada. 2. Que mierda ser jurado 3. Tratare de hacerlo si consigo link y no me estoy muriendo del guayabo. 4. NO SE INUNDA MAAAAS 5. VAMO MACRI. 6. Que levantada de arena tan hijueputa acabo de meter https://twitter.com/LilleAR/status/1160323160304209922 …;NEGATIVO
1. Se puede demostrar que no son lo mismo. Solo recordar uso fascista y partidario con que se apropiaron los k de las Fiestas Patrias. O el trato con las provincias. O la persecución a la justicia no adicta. O el reparto de pauta a los medios. O la corrupción en la obra pública;NEGATIVO
1. sos un mogolico 2. sos un pelotudo y un mogolico 3. no hay nada que decirte, votas a macri y ya define tu capacidad mental suponiendo ya que sos un tipo que tiene 2 dedos de frente o eso supongo;NEGATIVO
1. Tu vicepresidente se reunió con Insfran hace un par de semanas. 2. Si queres entrar en el feudo, tenes que hablar con Insfran quieras o no. 3. Pichetto hablaba mierda de Macri en febrero y hace un par de meses lo puso de vicepresidente Inconsistenciasss;NEGATIVO
1. Tu vicepresidente se reunió con Insfran hace un par de semanas. 2. Si queres entrar en el feudo, tenes que hablar con Insfran quieras o no. 3. Pichetto hablaba mierda de Macri en febrero y hace un par de meses lo puso de vicepresidente Inconsistenciasss;NEGATIVO
Para todos 1° Cualquier juicio de valor sobre mi persona carece de fundamento porque no me conocen 2° Los que no entiendan cómo funciona la política y cómo se financia abstenganse a realizar comentarios idiotas por favor 3° Espert NO es liberal, ustedes son fanáticos de otra cosa;NEGATIVO
1° Evidentemente no sabés de qué estás hablando, la plata la ponés vos con tus impuestos 2° En vez de escuchar al pelotudo de Espert que habla de sentido común te recomiendo ver y leer personas como Diego Giacomini o JMilei que te van a enseñar teoría con fundamentos empíricos;NEGATIVO
1° Que muchísimos esperemos con ansias el día en que el inútil éste deje la casa Rosada, no significa que deseemos el retorno de los K. Son exactamente iguales. 2) Sabemos que los k son tan nefastos como makri, pero lo de instaurar una dictadura no lo veo como posible...;NEGATIVO
yo tengo 10 amigos q votaron a MM en 2015, de esos, 4 siguen furiosos globos aunque esten peor economicamente, 3 van por lavagna y 3 se pasaron a FF x defensa propia de su bolsillo aunke no les gusta Cristina;NEGATIVO
10 años después de su ingreso como diputado todavía no tenía aparato político como para presentarse a nivel nacional, teniendo que recurrir a las alianzas más raras en el interior del país. Por eso, atraso su candidatura presidencial. Estás pavadas son propias de la izquierda.;AMBIGUO
En 10 min me cruze con un nene pidiendo, gente durmiendo en el piso y una mujer embarazada pidiendo en la calle, que CARAJO me venís a decir mamerto vos y se Espert VIVEM EN UN TERMO!!!!!!;NEGATIVO
En 10 min me cruze con un nene pidiendo, gente durmiendo en el piso y una mujer embarazada pidiendo en la calle, que CARAJO me venís a decir mamerto vos y se Espert VIVEM EN UN TERMO!!!!!!;NEGATIVO
10% Del Caño y 3% Manuela? Una redacción llena de zurdos con olor a porro.;NEGATIVO
[10/8 20:26] Chavyto: No vaya a ser cosa que voten a macri mañana [10/8 20:26] Chavyto: No sean pelotudos Mandé esto al grupo de mma y ahora me quieren cagar a trompadas ajfhkad ysi;NEGATIVO
[10/8 20:26] Chavyto: No vaya a ser cosa que voten a macri mañana [10/8 20:26] Chavyto: No sean pelotudos Mandé esto al grupo de mma y ahora me quieren cagar a trompadas ajfhkad ysi;NEGATIVO
10:33 #A12 Traffico da Sestri Levante a Lavagna.Velocità:10Km/h;AMBIGUO
el 100% de la gente sería trabajadora si hubiera trabajo para todos, y si todos cobraran un sueldo digno... quien va a elegir vivir con un subsidio de mierda? sólo los que trabajando cobren una miseria! si rompiéndome el lomo gano 7 y rascándome gano 5, obvio q prefiero rascarme;NEGATIVO
100 PESOS UNA PALTA Y UN TOMATE @mauriciomacri la re concha de tu madre por suerte ya te vas hijo de mil puta;NEGATIVO
100 PESOS UNA PALTA Y UN TOMATE @mauriciomacri la re concha de tu madre por suerte ya te vas hijo de mil puta;NEGATIVO
"""en otros tiempos la moneda de Paraguay, Perú, Bolivia no valían nada. ahora es al revés"". 100 sopes son 5 soles peruanos. osea k no voy a poder ir a peru nunca macri sorete";NEGATIVO
105 ME SALIERON LOS PUCHOS MACRI LA CONCHA DE TU MADRE;NEGATIVO
EL 11 DE AGOSTO, HAY ALTERNATIVA | #SanFernando es una ciudad que quiere y puede avanzar. Desde @CFederalPBA estamos convencidos de que con equipo, propuestas concretas y los valores que faltan, podemos vivir mejor. @RLavagna @BuccaBali Lista 137 Apic.twitter.com/OJWmiO1oqo;POSITIVO
Este 11 de agosto Elegí recuperar todo lo que te quitaron. Elegí con tu voto a Alberto y Cristina. #LasHerasEsConVos #LasHerasEsConTodos #Lista136 @afernandezk @Guilleamstutz @fadelpatricia @FrenteDeTodos pic.twitter.com/phIrF7IoKo;POSITIVO
el 11 de agosto el que vote por Chirolita candidato a presidente Chasman candidata a vice Piñon Fijo candidato a primer diputado Vota solo a mentirosos y ladrones y quien vote a Lavagna esta votando a ellos Los nombres puestos con todo respeto por sus creadores;NEGATIVO
Son 11:30 y yo todavía no me acosté LPM.;NEGATIVO
#11CádizCF| David Gil Iza Carcelen Fali Cala Espino Garrido Bodiger Álex Fernández Salvi Sánchez Javi Navarro Caye Quintana #CádizMálaga #MCFLive;NEGATIVO
#11CádizCF| David Gil Iza Carcelen Fali Cala Espino Garrido Bodiger Álex Fernández Salvi Sánchez Javi Navarro Caye Quintana #CádizMálaga #MCFLive;NEGATIVO
Este #11deagosto en las PASO #QueremosPatria y por eso acompañamos a @alferdez y a @CFKArgentina en las #Elecciones2019 #EALG #HayQueEcharAMacripic.twitter.com/tSzUrG9mna;POSITIVO
Estuvieron 12 años desperdiciaron la mayor oportunidad con soja a 600 usd , cfk dejó 30% de pobreza , cepo, default etc;NEGATIVO
12 años gobernando Salta, los únicos beneficiados fueron tu familia y amigos, no tenes vergüenza.;NEGATIVO
En los 12 años de los k donde mierda estabas enfrascado o freezado como Walt Disney, hipocrita;NEGATIVO
12 años no les alcanzaron para lo IMPORTANTE? Manga de chorros, corruptos!!!! Cómo todo peroncho rufianes y mercenarios!!!!!;NEGATIVO
124 procesos... Condenaron al fino Palacios y varios mas x las escuchas ilegales y Macri absuelto. No seas ridículo flaco!!!;NEGATIVO
13. Bolivia tendrá elecciones el 20 de octubre, ¿qué dice el gobierno de @POTUS respecto a la seguridad allí? Lo mismo que en Arg. Nivel 1. ¿Entonces Trump y Evo Morales son amigos y tienen un acuerdo por el cual EE.UU. influirá a favor de Evo en las elecciones? Ridículo, verdad?;NEGATIVO
13. Bolivia tendrá elecciones el 20 de octubre, ¿qué dice el gobierno de @POTUS respecto a la seguridad allí? Lo mismo que en Arg. Nivel 1. ¿Entonces Trump y Evo Morales son amigos y tienen un acuerdo por el cual EE.UU. influirá a favor de Evo en las elecciones? Ridículo, verdad?;NEGATIVO
14. La argumentación de que esto es una pretensión de introducirse en la campaña electoral de nuestro país, cae por donde se la mire. Es eso, ridícula. Tan infantil como la declaración de nuestra Cancillería. #CantandoLaPosta;NEGATIVO
14. La argumentación de que esto es una pretensión de introducirse en la campaña electoral de nuestro país, cae por donde se la mire. Es eso, ridícula. Tan infantil como la declaración de nuestra Cancillería. #CantandoLaPosta;NEGATIVO
14:37 #A12 Traffico da Sestri Levante a Lavagna.Velocità:5Km/h;AMBIGUO
15 Millones de Pobres hoy en #Argentina !! Triste destino el nuestro si seguimos entre excusas y acusaciones... Es urgente #ConsensoFederal @RLavagna Presidente !! https://www.clarin.com/economia/economia/aumento-pobreza-34-afecta-13-millones-personas_0_zOoo3muF6.amp.html?fromRef=twitter&__twitter_impression=true …;NEGATIVO
18. Para seguir comparando, la tasa de homicidios en Venezuela es de 81,4 cada 100 mil habitantes. Del ridículo no se vuelve. Y en el mismo ridículo que está Venezuela, el gobierno ha metido a Uruguay. #CantandoLaPostapic.twitter.com/Bcw6l9l3OT;NEGATIVO
18. Para seguir comparando, la tasa de homicidios en Venezuela es de 81,4 cada 100 mil habitantes. Del ridículo no se vuelve. Y en el mismo ridículo que está Venezuela, el gobierno ha metido a Uruguay. #CantandoLaPostapic.twitter.com/Bcw6l9l3OT;NEGATIVO
En 1983, 1998, 2003 y 2007 pasó lo mismo. Ahora volvemos a lo de “este año no es”. Para 2023 esa excusa ya no va a servir. Nadie quita que los kirchnerista sigan participando. Dígase de paso, ¿en 2021 se lo vota a Espert o de nuevo a Cambiemos? Mmm...;NEGATIVO
Y en los 2000 y en los 2010 y en los 2020;AMBIGUO
Y en el 2006 fue Rosales En el 2013 y por partida doble Capriles En el 2014 fue Leopoldo López y en el 2019 un tal Guaidó Que nis volvieron a estafar como que no aprendemos de la historia Nos ven cara de pendejos y estupidos y se nis ríen a dos carrillos cualquier recien llegado pic.twitter.com/rWz1lIEIa7;NEGATIVO
En 2007 y 2011 estaba creciendo para luego competir como deberían de hacer uds que nunca gobernaron nada En 2015 Cristina decidió no apoyar a Scioli porque sabía lo que le dejaba a Macri y querían hacer como 2001, desestabilizar y luego asumir con un golpe como siempre;AMBIGUO
En 2007 macri no habia dicho q iba a darle prioridad a la zona sur de la ciudad tan abandonada por los anteriores gobiernos? Que facil es hacerse el boludo como hacian los k;NEGATIVO
